#CODE	ENGLISH	ENGLISH
AIREASON_ALL_HELP_IS_APPRECIATED	All help is appreciated	All help is appreciated
EVTDESC100153	Despite being able to help me with my latest war, my friend [From.GetTitledFirstName] chose to ignore my plight. The war was a struggle and any help, any help at all, could have helped me greatly.	Despite being able to help me with my latest war, my friend [From.GetTitledFirstName] chose to ignore my plight. The war was a struggle and any help, any help at all, could have helped me greatly.
EVTOPTA100153	Don't count on my help then, [From.GetTitledFirstName]!	Don't count on my help then, [From.GetTitledFirstName]!
EVTOPTB100153	The war is over, no need to dwell on the past	The war is over, no need to dwell on the past
EVTDESC100160	This war isn't going quite as I thought it would. I lose more men per battle than I'd planned and the sieges - the sieges are going on forever! More manpower and more siege weapons are what I need, perhaps a friend could assist me with this?	This war isn't going quite as I thought it would. I lose more men per battle than I'd planned and the sieges - the sieges is going on forever! More manpower and more siege weapons is what I need, perhaps a friend could assist me with this?
EVTOPTA100160	Ask my friend to join the war!	Ask my friend to join the war!
EVTTOOLTIP100161	is asked to join [Root.GetTitledFirstName]'s war	is asked to join [Root.GetTitledFirstName]'s war
EVTOPTB100160	Ask a friend for some monetary help	Ask a friend for some monetary help
EVTTOOLTIP100162	[Root.GetTitledFirstName] asks [This.GetTitledFirstName] for some money	[Root.GetTitledFirstName] asks [This.GetTitledFirstName] for some money
EVTOPTC100160	I need no help, this war will soon be won!	I need no help, this war will soon be won!
EVTDESC100161	My dear friend, it pains me to have to ask you to join my war. I must confess that the war does not progress as well as I had hoped it would, and I would really appreciate if you would lend me your help, your troops and your siege weapons.\n\nWith hopeful regards,\nYour friend,\n[From.GetTitledFirstName]	My dear friend, it pains me to have to ask you to join my war. I must confess that the war does not progress as well as I had hoped it would, and I would really appreciate if you would lend me your help, your troops and your siege weapons.\n\nWith hopeful regards,\nYour friend,\n[From.GetTitledFirstName]
EVTOPTA100161	[Root.GetTitledFirstName] to the rescue!	[Root.GetTitledFirstName] to the rescue!
EVTTOOLTIP100163	gladly accepts all help [This.GetSheHe] can get	gladly accepts all help [This.GetSheHe] can get
EVTOPTB100161	I can send [From.GetHerHim] some money instead	I can send [From.GetHerHim] some money instead
EVTOPTC100161	I cannot help [From.GetHerHim] at this time	I cannot help [From.GetHerHim] at this time
EVTTOOLTIP100164	is disappointed [Root.GetTitledFirstName] couldn't help [This.GetHerHim]	is disappointed [Root.GetTitledFirstName] couldn't help [This.GetHerHim]
EVTDESC100162	Dear [Root.GetTitledFirstName], I never thought I would feel the shame of asking a friend for some monetary help but this war is threatening to run my coffers dry. I implore you, as a friend to a friend, for a small monetary gift so that I may win this war!\n\nWith my deepest thanks in beforehand\nYour friend,\n[From.GetTitledFirstName]	Dear [Root.GetTitledFirstName], I never thought I would feel the shame of asking a friend for some monetary help but this war is threatening to run my coffers dry. I implore you, as a friend to a friend, for a small monetary gift so that I may win this war!\n\nWith my deepest thanks in beforehand\nYour friend,\n[From.GetTitledFirstName]
EVTOPTA100162	I hope this small sum will help [From.GetHerHim] win the war!	I hope this small sum will help [From.GetHerHim] win the war!
EVTOPTB100162	If the war is going so badly, I better join [From.GetHerHim]!	If the war is going so badly, I better join [From.GetHerHim]!
EVTOPTC100162	My hands are tied, there's nothing I can do for [From.GetHerHim]	My hands are tied, there's nothing I can do for [From.GetHerHim]
EVTDESC100163	My letter to [From.GetTitledFirstName] could have gotten lost in any number of ways and, truthfully, sometimes I wished it would. The shame of having to ask a friend for help gnawed at me until I got [From.GetTitledFirstName]'s response...	My letter to [From.GetTitledFirstName] could have gotten lost in any number of ways and, truthfully, sometimes I wished it would. The shame of having to ask a friend for help gnawed at me until I got [From.GetTitledFirstName]'s response...
EVTOPTA100163	...[From.GetSheHe] joined my war!	...[From.GetSheHe] joined my war!
EVTOPTB100163	...sent me money for troops!	...sent me money for troops!
EVTDESC100164	Dear [From.GetTitledFirstName], my duties to my family and my vassals disallows me to help you at this moment. I hope the war will turn to your favor and I wish for you to win the war quickly.\n\nWith hopes of understanding,\nYour friend,\n[From.GetTitledFirstName]	Dear [From.GetTitledFirstName], my duties to my family and my vassals disallows me to help you at this moment. I hope the war will turn to your favor and I wish for you to win the war quickly.\n\nWith hopes of understanding,\nYour friend,\n[From.GetTitledFirstName]
EVTOPTA100164	I'll manage, somehow...	I'll manage, somehow...
EVTDESC100170	My friend's friend is also my friend - a motto I try to live by and sometimes that is an easy truth. A friend of a friend was introduced and I immediately felt a kind of connection with this stranger...	The friend of a friend is my friend - a motto I try to live by and sometimes that is an easy truth. A friend of a friend was introduced and I immediately felt a kind of connection with this stranger...
EVTOPTA100170	...so I hope we'll be friends!	...so I hope we'll be friends!
EVTTOOLTIP100171	[Root.GetTitledFirstName] hopes [Root.GetSheHe] and [friends_friend.GetTitledFirstName] will be friends	[Root.GetTitledFirstName] hope [Root.GetSheHe] and [This.GetTitledFirstName] will be friends
EVTTOOLTIP100172	[Root.GetTitledFirstName]'s friend [my_friend.GetTitledFirstName] is glad [my_friend.GetHerHis] friends are friends	[Root.GetTitledFirstName]'s friend [This.GetTitledFirstName] is glad [This.GetHerHis] friends are friends
EVTOPTB100170	...but just because we share a friend doesn't mean we can be friends	...but just because we share a friend doesn't mean we can be friends
EVTTOOLTIP100173	[Root.GetTitledFirstName]'s unwillingness to make friends with [This.GetTitledFirstName] upsets [This.GetHerHim]	[Root.GetTitledFirstName]'s unwillingness to make friends with [This.GetTitledFirstName] upsets [This.GetHerHim]
EVTDESC100171	When I introduced my friend to [From.GetTitledFirstName] I had high hopes. I hoped they would become fast friends so we could spend time together, the three of us.	When I introduced my friend to [From.GetTitledFirstName] I had high hopes. I hoped they would become fast friends so we could spend time together, the three of us.
EVTOPTA100171	Too bad [From.GetTitledFirstName] didn't like my friend	Too bad [From.GetTitledFirstName] didn't like my friend
EVTTOOLTIPA100171	[Root.GetTitledFirstName]'s friend [This.GetTitledFirstName] decided to ignore [From.GetTitledFirstName]	[Root.GetTitledFirstName]'s friend [This.GetTitledFirstName] decided to ignore [From.GetTitledFirstName]
EVTOPTB100171	[From.GetTitledFirstName] and my friend had a great time together!	[From.GetTitledFirstName] and my friend had a great time together!
EVTDESC100172	[From.GetTitledFirstName] was introduced by a mutual friend and we talked for quite a while. We had our differences and a few arguments, then we found common, safe ground and I began enjoying myself. [From.GetTitledFirstName] seems like a decent person.	[From.GetTitledFirstName] was introduced by a mutual friend and we talked for quite a while. We had our differences and a few arguments, then we found common, safe ground and I began enjoying myself. [From.GetTitledFirstName] seems like a decent person.
EVTOPTA100172	I wouldn't mind talking to [From.GetTitledFirstName] some more	I wouldn't mind talking to [From.GetTitledFirstName] some more
EVTTOOLTIPA100174	[Root.GetTitledFirstName] and [This.GetTitledFirstName] went from strangers to friends	[Root.GetTitledFirstName] and [This.GetTitledFirstName] went from strangers to friends
EVTOPTB100172	I don't like [From.GetHerHis] opinions, nor do I like [From.GetHerHim]!	I don't like [From.GetHerHis] opinions, nor do I like [From.GetHerHim]!
EVTTOOLTIP100175	[Root.GetTitledFirstName] and [This.GetTitledFirstName] went from strangers to rivals	[Root.GetTitledFirstName] and [This.GetTitledFirstName] went from strangers to rivals
EVTOPTC100172	A nice [From.GetManWoman], but I wouldn't want [From.GetHerHim] as a friend	A nice [From.GetManWoman], but I wouldn't want [From.GetHerHim] as a friend
EVTTOOLTIPB100174	No friendship was born between [Root.GetTitledFirstName] and [This.GetTitledFirstName] this day	No friendship was born between [Root.GetTitledFirstName] and [This.GetTitledFirstName] this day
EVTDESC100173	After I talked to [From.GetTitledFirstName] and discovered we had next to nothing in common and that [From.GetSheHe] was a horrible [From.GetManWoman], I wanted nothing to do with [From.GetTitledFirstName] ever again! Our mutual friend wasn't happy, but understood that I wouldn't ever be friends with [From.GetTitledFirstName].	After I talked to [From.GetTitledFirstName] and discovered we had next to nothing in common and that [From.GetSheHe] was a horrible [From.GetManWoman], I wanted nothing to do with [From.GetTitledFirstName] ever again! Our mutual friend wasn't happy, but understood that I wouldn't ever be friends with [From.GetTitledFirstName].
EVTOPTA100173	Don't introduce me to another of your 'friends' ever again!	Don't introduce me to another of your 'friends' ever again!
EVTDESC100174	We had a few disagreements and a few arguments but once we arrived on common, safe ground I really enjoyed talking to [From.GetTitledFirstName]. I should remember to thank my friend for introducing me to [From.GetTitledFirstName], it has been a long time since I've found such an interesting [From.GetManWoman]!	We had a few disagreements and a few arguments but once we arrived on common, safe ground I really enjoyed talking to [From.GetTitledFirstName]. I should remember to thank my friend for introducing me to [From.GetTitledFirstName], it has been a long time since I've found such an interesting [From.GetManWoman]!
EVTOPTA100174	Friends forever, or what do you say, [From.GetTitledFirstName]?	Friends forever, or what do you say, [From.GetTitledFirstName]?
EVTOPTB100174	[From.GetTitledFirstName] didn't think we could become friends	[From.GetTitledFirstName] didn't think we could become friends
opinion_rejected_friend	Rejected my friendship	Rejected my friendship
EVTDESC100175	I don't know when I started disliking [From.GetTitledFirstName], but it must have been when [From.GetSheHe] disagreed with me about how the peasants should be treated. The more we talked, the less I liked [From.GetTitledFirstName] and enough was enough! We would never be friends, only rivals.	I don't know when I started disliking [From.GetTitledFirstName], but it must have been when [From.GetSheHe] disagreed with me about how the peasants should be treated. The more we talked, the less I liked [From.GetTitledFirstName] and enough was enough! We would never be friends, only rivals.
EVTOPTA100175	I don't like you, I don't like you at all [From.GetTitledFirstName]!	I don't like you, I don't like you at all [From.GetTitledFirstName]!
opinion_accepted_religion	Accepted My Religion	Accepted My Religion
opinion_happy_convertion	Happy for a converted friend	Happy for a converted friend
opinion_wrong_religion	Wrong Religion	Wrong Religion
EVTDESC100180	It's hard being a good [Root.Religion.GetName] these days, but my friend truly shocked me when I realized we did not share the same religion. My dear friend is a heretic!	It's hard being a good [Root.Religion.GetName] these days, but my friend truly shocked me when I realized we did not share the same religion. My dear friend is a heretic!
EVTOPTA100180	I shall try to convert my friend to the one true faith!	I shall try to convert my friend to the one true faith!
EVTTOOLTIP100181	[Root.GetTitledFirstName] tries to convert [This.GetTitledFirstName] to a God-fearing [Root.Religion.GetName]	[Root.GetTitledFirstName] tries to convert [This.GetTitledFirstName] to a God-fearing [Root.Religion.GetName]
EVTOPTB100180	Who cares about religion anyway? I don't!	Who cares about religion anyway? I don't!
EVTTOOLTIP100182	[Root.GetTitledFirstName] accepts that [This.GetTitledFirstName] is a [This.Religion.GetName]	[Root.GetTitledFirstName] accepts that [This.GetTitledFirstName] is a [This.Religion.GetName]
EVTOPTC100180	To be a good friend, I should probably learn more about this religion	To be a good friend, I should probably learn more about this religion
EVTTOOLTIP100183	[Root.GetTitledFirstName]'s interest in [This.Religion.GetName] gladdens [This.GetTitledFirstName]	[Root.GetTitledFirstName]'s interest in [This.Religion.GetName] gladdens [This.GetTitledFirstName]
EVTOPTD100180	I can't be friends with a heretic!	I can't be friends with a heretic!
EVTTOOLTIP100184	[Root.GetTitledFirstName] is no longer friends with [This.GetTitledFirstName]	[Root.GetTitledFirstName] is no longer friends with [This.GetTitledFirstName]
EVTOPTE100180	My friend's religion sounds better than [Root.Religion.GetRandomGodName]!	My friend's religion sounds better than [Root.Religion.GetRandomGodName]!
EVTDESC100181	[From.GetTitledFirstName] is a devout [From.Religion.GetName], so when I told [From.GetHerHim] that I believed in [Root.Religion.GetRandomGodName] rather than [From.Religion.GetRandomGodName] I knew what [From.GetSheHe] was going to say. After a long, heated discussion about religion, considered disadvantages and advantages of our respective religions I decided to...	[From.GetTitledFirstName] is a devout [From.Religion.GetName], so when I told [From.GetHerHim] that I believed in [Root.Religion.GetRandomGodName] rather than [From.Religion.GetRandomGodName] I knew what [From.GetSheHe] was going to say. After a long, heated discussion about religion, considered disadvantages and advantages of our respective religions I decided to...
EVTOPTA100181	...keep my religion but lose my friend	...keep my religion but lose my friend
EVTTOOLTIP100185	[Root.GetTitledFirstName] cannot be friends with someone who does not respect [Root.GetHerHis] religion	[Root.GetTitledFirstName] cannot be friends with someone who does not respect [Root.GetHerHis] religion
EVTOPTB100181	...keep my friend and convert to the [From.Religion.GetName] religion	...keep my friend and convert to the [From.Religion.GetName] religion
EVTTOOLTIP100186	[Root.GetTitledFirstName] converts to [From.GetTitledFirstName]'s religion	[Root.GetTitledFirstName] converts to [From.GetTitledFirstName]'s religion
EVTOPTC100181	...keep both my religion and my friend	...keep both my religion and my friend
EVTDESC100182	I feared what [From.GetTitledFirstName] would say when I told [From.GetHerHim] that I did not believe in [From.Religion.GetRandomGodName], that I am a devout [Root.Religion.GetName] and I would not give up my religion for anyone. [From.GetTitledFirstName] was more understanding than I would've thought [From.GetHerHim] to be, and after asking some questions [From.GetSheHe] seemed to accept me and my religion.	I feared what [From.GetTitledFirstName] would say when I told [From.GetHerHim] that I did not believe in [From.Religion.GetRandomGodName], that I am a devout [Root.Religion.GetName] and I would not give up my religion for anyone. [From.GetTitledFirstName] was more understanding than I would've thought [From.GetHerHim] to be, and after asking some questions [From.GetSheHe] seemed to accept me and my religion.
EVTOPTA100182	A friend like you is hard to find, [From.GetTitledFirstName]	A friend like you is hard to find, [From.GetTitledFirstName]
EVTDESC100183	[From.GetTitledFirstName] was very inquisitive and asked a lot of questions about my [Root.Religion.GetName] faith and [Root.Religion.GetRandomGodName]. I was happy to talk about my religion with a nonjudgmental [From.GetManWoman], and answered all [From.GetHerHis] questions as good as I could.	[From.GetTitledFirstName] was very inquisitive and asked a lot of questions about [Root.Religion.GetName] and [Root.Religion.GetRandomGodName]. I was happy to talk about my religion and my god with a nonjudgmental [From.GetManWoman] and answered all [From.GetHerHis] questions as good as I could.
EVTOPTA100183	Thank you for not judging my religion, [From.GetTitledFirstName]!	Thank you for not judging my religion, [From.GetTitledFirstName]!
EVTOPTB100183	...[From.GetTitledFirstName] even decided to convert to [Root.Religion.GetName]!	...[From.GetTitledFirstName] even decided to convert to [Root.Religion.GetName]!
EVTDESC100184	It went exactly as I had feared - [From.GetTitledFirstName] couldn't accept me being a [Root.Religion.GetName] and condemned me and my religion. I tried to reason with [From.GetTitledFirstName] and told [From.GetHerHim] about all the similarities with [From.GetHerHis] religion and [From.Religion.GetName] but I was talking to deaf ears.	It went exactly as I had feared - [From.GetTitledFirstName] couldn't accept me being a [Root.Religion.GetName] and condemned me and my religion. I tried to reason with [From.GetTitledFirstName] and told [From.GetHerHim] about all the similarities with [From.GetHerHis] religion and [From.Religion.GetName] but I was talking to deaf ears.
EVTOPTA100184	 [From.GetTitledFirstName] decided [From.GetSheHe] couldn't be friends with a heretic	 [From.GetTitledFirstName] decided [From.GetSheHe] couldn't be friends with a heretic
EVTDESC100185	I tried talking to [From.GetTitledFirstName], discuss, argue, everything! Nothing I said, nothing I did could convince [From.GetTitledFirstName] to abandon [From.GetHerHis] heretical ways and embrace the one true faith, the [Root.Religion.GetName] religion. Our disagreement about religion were never solved and [From.GetTitledFirstName] told me I was no longer [From.GetHerHis] friend...	I tried talking to [From.GetTitledFirstName], discuss, argue, everything! Nothing I said, nothing I did could convince [From.GetTitledFirstName] to abandon [From.GetHerHis] heretical ways and embrace the one true faith, the [Root.Religion.GetName] religion. Our disagreement about religion were never solved and [From.GetTitledFirstName] told me I was no longer [From.GetHerHis] friend...
EVTOPTA100185	I agree, we can no longer be friends	I agree, we can no longer be friends
EVTDESC100186	The difference between a [Root.Religion.GetName] and a [From.Religion.GetName] is that...'\nI reasoned with [From.GetTitledFirstName] about [From.GetHerHis] religion and tried to explain why being a [From.Religion.GetName] in this day and age was a bad idea.	The difference between a [Root.Religion.GetName] and a [From.Religion.GetName] is that...'\nI reasoned with [From.GetTitledFirstName] about [From.GetHerHis] religion and tried to explain why being a [From.Religion.GetName] in this day and age was a bad idea.
EVTOPTA100186	[From.GetTitledFirstName] decided to convert and become a [Root.Religion.GetName]	[From.GetTitledFirstName] decided to convert and become a [Root.Religion.GetName]
EVTOPTB100186	[From.GetTitledFirstName] did not heed my warning	[From.GetTitledFirstName] did not heed my warning
EVTDESC100190	I need help with a delicate private matter I don't want the [Root.GetChancellorName] to take care of. There are those who think me undiplomatic and I fear they are right, and now I really need to be diplomatic or the [Root.GetManWomanOpp] blackmailing me might spread [Root.GetHerHisOpp] lies with me being unable to do anything about it.	I need help with a delicate private matter I don't want the [Root.GetChancellorName] to take care of. There are those who think me undiplomatic and I fear they are right, and now I really need to be diplomatic or the [Root.GetManWomanOpp] blackmailing me might spread [Root.GetHerHisOpp] lies with me being unable to do anything about it.
EVTOPTA100190	My diplomatic friend, could you please help me?	My diplomatic friend, could you please help me?
EVTTOOLTIP100191	[Root.GetTitledFirstName] begs [This.GetTitledFirstName] for help with the extortionist	[Root.GetTitledFirstName] begs [This.GetTitledFirstName] for help with the extortionist
EVTOPTB100190	No one, not even my friends, can know about this!	No one, not even my friends, can know about this!
EVTDESC100191	I heard about the mad [From.GetManWomanOpp] who tries to blackmail [From.GetTitledFirstName] before my friend [From.GetTitledFirstName] came to me and asked for help. [From.GetTitledFirstName] isn't known for [From.GetHerHis] diplomacy and, as desperate as [From.GetSheHe] is, it is even more likely [From.GetTitledFirstName] would handle this situation with less tact than needed.	I heard about the mad [From.GetManWomanOpp] who tries to blackmail [From.GetTitledFirstName] before my friend [From.GetTitledFirstName] came to me and asked for help. [From.GetTitledFirstName] isn't known for [From.GetHerHis] diplomacy and, as desperate as [From.GetSheHe] is, it is even more likely [From.GetTitledFirstName] would handle this situation with less tact than needed.
EVTOPTA100191	I'll help you in any way I can!	I'll help you in any way I can!
EVTTOOLTIP100192	[Root.GetTitledFirstName] decides to help [This.GetTitledFirstName] deal with the blackmailing [This.GetManWomanOpp]	[Root.GetTitledFirstName] decides to help [This.GetTitledFirstName] deal with the blackmailing [This.GetManWomanOpp]
EVTOPTB100191	Don't get me involved with that mad [From.GetManWomanOpp]!	Don't get me involved with that mad [From.GetManWomanOpp]!
EVTTOOLTIP100193	is forced to handle the mad [This.GetManWomanOpp] without [Root.GetTitledFirstName]'s help	is forced to handle the mad [This.GetManWomanOpp] without [Root.GetTitledFirstName]'s help
EVTOPTC100191	The blackmailer is mad, if you want my help I want to be reimbursed	The blackmailer is mad, if you want my help I want to be reimbursed
EVTTOOLTIP100194	is grateful for [Root.GetTitledFirstName] help but not happy about having to pay for it	is grateful for [Root.GetTitledFirstName] help but not happy about having to pay for it
EVTDESC100192	[From.GetTitledFirstName] and I managed to stop the mad [Root.GetManWomanOpp] from blackmailing and spread malevolent rumors about me. It took every effort, all of our combined diplomatic skill and even a small bribe to get the extortionist to promise to stop the rumors, never approach me again and leave me alone.	[From.GetTitledFirstName] and I managed to stop the mad [Root.GetManWomanOpp] from blackmailing and spread malevolent rumors about me. It took every effort, all of our combined diplomatic skill and even a small bribe to get the extortionist to promise to stop the rumors, never approach me again and leave me alone.
EVTOPTA100192	Finally I got rid of that lunatic!	Finally I got rid of that lunatic!
EVTDESC100193	Without the help of [From.GetTitledFirstName], I was unable to stop the extortionist spreading evil rumors about me. Now everyone thinks I really did that awful thing with that lunatic [Root.GetManWomanOpp]! Why [Root.Religion.GetRandomGodName], why?!	Without the help of [From.GetTitledFirstName], I was unable to stop the extortionist spreading evil rumors about me. Now everyone thinks I really did that awful thing with that lunatic [Root.GetManWomanOpp]! Why [Root.Religion.GetRandomGodName], why?!
EVTOPTA100193	I'm so ashamed I don't know what to do...	I'm so ashamed I don't know what to do...
EVTDESC100194	I explained the situation for [From.GetTitledFirstName] carefully, not wanting [From.GetHerHim] to know too much about the situation but the fear of the lunatic [Root.GetManWomanOpp] spreading malicious rumors made me quite talkative and I may have told [From.GetTitledFirstName] too much. It was for the best though, [From.GetTitledFirstName] agreed to help me but wanted to be reimbursed, in case something would happen...	I explained the situation for [From.GetTitledFirstName] carefully, not wanting [From.GetHerHim] to know too much about the situation but the fear of the lunatic [Root.GetManWomanOpp] spreading malicious rumors made me quite talkative and I may have told [From.GetTitledFirstName] too much. It was for the best though, [From.GetTitledFirstName] agreed to help me but wanted to be reimbursed, in case something would happen...
EVTOPTA100194	Friends help each other without charging for it!	Friends help each other without charging for it!
EVTTOOLTIPA100195	tried to charge [Root.GetTitledFirstName] for [This.GetHerHis] help	tried to charge [Root.GetTitledFirstName] for [This.GetHerHis] help
EVTOPTB100194	I'll give you whatever you want, just please help me!	I'll give you whatever you want, just please help me!
EVTTOOLTIPB100195	is paid for [This.GetHerHis] help with [Root.GetTitledFirstName]'s lunatic extortionist and the problem is solved	is paid for [This.GetHerHis]'s help with [Root.GetTitledFirstName]'s lunatic extortionist and the problem is solved
EVTDESC100195	I agreed to help [From.GetTitledFirstName] with [From.GetHerHis] lunatic extortionist if I was paid for my help, and I had already figured out a plan when [From.GetTitledFirstName] told me whether or not my help was wanted enough for getting my demands fulfilled.	I agreed to help [From.GetTitledFirstName] with [From.GetHerHis] lunatic extortionist if I was paid for my help, and I had already figured out a plan when [From.GetTitledFirstName] told me whether or not my help was wanted enough for getting my demands fulfilled.
EVTOPTA100195	No money, no help	No money, no help
EVTOPTB100195	I've gotten the money, now here's what we shall do...	I've gotten the money, now here's what we shall do...
EVTDESC100200	My knowledge of swords extends only so far as to 'long, sharp things you poke people with when you want them to die, especially if you are in a duel or at war', and it's becoming an embarrassment. If someone could ever teach me anything about swords and how to use them, it would be one of my best friends and I can trust him to never mock my lack of skill.	My knowledge of swords extends only so far as to 'long, sharp things you poke people with when you want them to die, especially if you are in a duel or at war', and it's becoming an embarrassment. If someone could ever teach me anything about swords and how to use them, it would be one of my best friends and I can trust him to never mock my lack of skill.
EVTOPTA100200	I really should ask him for help	I really should ask him for help
EVTTOOLTIP100201	is asked by [Root.GetTitledFirstName] to help him refine his sword skills	is asked by [Root.GetTitledFirstName] to help him refine his sword skills
EVTOPTB100200	I can probably figure this out by myself... OW!	I can probably figure this out by myself... OW!
EVTDESC100201	I have seen how [From.GetTitledFirstName] handles swords, and it is not a pretty sight. Half of the time [From.GetSheHe] seems to forget which side is the sharp one! Should I laugh or should I cry at [From.GetTitledFirstName]'s incompetence with the sword? Now [From.GetTitledFirstName] seems to think I could teach [From.GetHerHim] all I know.	I have seen how [From.GetTitledFirstName] handle swords, and it is not a pretty sight. Half of the time [From.GetSheHe] seems to forget which side is the sharp one! Should I laugh or should I cry at [From.GetTitledFirstName]'s incompetence with the sword? Now [From.GetTitledFirstName] seems to think I could teach [From.GetHerHim] all I know.
EVTOPTA100201	I can only try...	I can only try...
EVTTOOLTIP100202	[Root.GetTitledFirstName] reluctantly try to teach [This.GetTitledFirstName] how to use a sword	[Root.GetTitledFirstName] reluctantly try to teach [This.GetTitledFirstName] how to use a sword
EVTOPTB100201	Give it up. You and swords will never work	Give it up. You and swords will never work
EVTTOOLTIP100203	is disappointed but accepts [Root.GetTitledFirstName]'s refusal to teach him	is disappointed but accepts [Root.GetTitledFirstName]'s refusal to teach him
EVTOPTC100201	I'm risking my life, so I'd like to get paid	I'm risking my life, so I'd like to get paid
EVTTOOLTIP100204	considers [Root.GetTitledFirstName] request	considers [Root.GetTitledFirstName] request
EVTDESC100202	It took a while, but after a couple of days I learned which part of the sword I could touch without getting hurt. Then came the easy part: how to use the sword. After having practiced on a dummy for several weeks I finally managed to impress [From.GetTitledFirstName] enough to get to practice with [From.GetHerHim] instead of hacking at the dummy.	It took a while, but after a couple of days I learned which part of the sword I could touch without getting hurt. Then came the easy part: how to use the sword. After having practiced on a dummy for several weeks I finally managed to impress [From.GetTitledFirstName] enough to get to practice with [From.GetHerHim] instead of hacking at the dummy.
EVTOPTA100202	I'm still no good with swords, but better than before	I'm still no good with swords, but better than before
EVTDESC100203	You are a menace with a sword, don't even know which end you should hold and which one you use to kill people with. It saddens me to tell you this but I believe you to be unteachable.'\n[From.GetTitledFirstName] did not mince [From.GetHerHis] words when [From.GetSheHe] told me how utterly unteachable I was and that I should leave the swords to 'real men'!	You are a menace with a sword, don't even know which end you should hold and which one you use to kill people with. It saddens me to tell you this but I believe you to be unteachable.'\n[From.GetTitledFirstName] did not mince [From.GetHerHis] words when [From.GetSheHe] told me how utterly unteachable I was and that I should leave the swords to 'real men'!
EVTOPTA100203	I am a man! Give me that sword... OW!	I am a man! Give me that sword... OW!
EVTDESC100204	[From.GetTitledFirstName] refused to teach me unless I paid [From.GetHerHim] and followed [From.GetHerHis] every rule. [From.GetSheHeCap] told me that I was a menace with a sword and the gold was meant to pay for any medical attention [From.GetSheHe] might need while teaching me how to use the sharp part of a sword.	[From.GetTitledFirstName] refused to teach me unless I paid [From.GetHerHim] and followed [From.GetHerHis] every rule. [From.GetSheHeCap] told me that I was a menace with a sword and the gold was meant to pay for any medical attention [From.GetSheHe] might need while teaching me how to use the sharp part of a sword.
EVTOPTA100204	Aren't you expecting the worst now? I'm sure both of us will be fine...	Aren't you expecting the worst now? I'm sure both of us will be fine...
EVTTOOLTIPA100205	[Root.GetTitledFirstName] is not willing to pay [This.GetTitledFirstName] for [This.GetHerHis] help	[Root.GetTitledFirstName] is not willing to pay [This.GetTitledFirstName] for [This.GetHerHis] help
EVTOPTB100204	I can see the wisdom of that, just teach me already!	I can see the wisdom of that, just teach me already!
EVTTOOLTIPB100205	[Root.GetTitledFirstName] agrees to [This.GetTitledFirstName]'s demands and precautionary measures	[Root.GetTitledFirstName] agrees to [This.GetTitledFirstName]'s demands and precautionary measures
EVTDESC100205	Teach [From.GetTitledFirstName] how to use a sword must be the most hazardous job in the whole world, and I told [From.GetHerHim] exactly that. [From.GetTitledFirstName] still insisted and so I told [From.GetHerHim] I wanted some safety for I feared [From.GetTitledFirstName] would injure me, although unintentionally.	Teach [From.GetTitledFirstName] how to use a sword must be the most hazardous job in the whole world, and I told [From.GetHerHim] exactly that. [From.GetTitledFirstName] still insisted and so I told [From.GetHerHim] I wanted some safety for I feared [From.GetTitledFirstName] would injure me, although unintentionally.
EVTOPTA100205	[From.GetTitledFirstName] did not agree to that, and so I refused to help	[From.GetTitledFirstName] did not agree to that, and so I refused to help
EVTOPTB100205	[From.GetTitledFirstName] saw the wisdom in that and agreed	[From.GetTitledFirstName] saw the wisdom in that and agreed
EVTTOOLTIPC100205	Under [Root.GetTitledFirstName]'s careful supervision, [This.GetTitledFirstName] learns how to use a sword	Under [Root.GetTitledFirstName]'s careful supervision, [This.GetTitledFirstName] learns how to use a sword
EVTDESC100210	I need to take a look at the buildings in [Root.Location.GetName] and figure out how to reinforce them and make them harder to conquer if the county would be sieged. The buildings did not inspire me in any way, but I have a friend who is excellent at these kind of things.	I need to take a look at the buildings in [Root.Location.GetName] and figure out how to reinforce them and make them harder to conquer if the county would be sieged. The buildings did not inspire me in any way, but I have a friend who is excellent at these kind of things.
EVTOPTA100210	What am I waiting for? A siege? Just ask!	What am I waiting for? A siege? Just ask!
EVTTOOLTIP100211	is told what [Root.GetTitledFirstName] had in mind about reinforcements in [Root.Location.GetName]	is told what [Root.GetTitledFirstName] had in mind about reinforcements in [Root.Location.GetName]
EVTOPTB100210	Maybe a new watchtower? Or a defensive wall? I'll think of something...	Maybe a new watchtower? Or a defensive wall? I'll think of something...
EVTDESC100211	The buildings [From.GetTitledFirstName] was looking to reinforce should be torn down and replaced with sturdier houses and watchtowers, but [From.GetTitledFirstName] was insistent something could be done about them. I told [From.GetHerHim] my honest opinion about the buildings.	The buildings [From.GetTitledFirstName] was looking to reinforce should be torn down and replaced with sturdier houses and watchtowers, but [From.GetTitledFirstName] was insistent something could be done about them. I told [From.GetHerHim] my honest opinion about the buildings.
EVTOPTA100211	The materials from the old houses could be used to erect better buildings...	The materials from the old houses could be used to erect better buildings...
EVTTOOLTIP100212	is grateful [Root.GetTitledFirstName] helps [This.GetHerHim] with the buildings	is grateful [Root.GetTitledFirstName] helps [This.GetHerHim] with the buildings
EVTOPTB100211	Nothing can be done! Tear them down before they fall apart	Nothing can be done! Tear them down before they fall apart
