#CODE	ENGLISH
haughty	Haughty
#PEACE_ENFORCE_NOT_ON_COOLDOWN	§YRealm Peace§! has not been used in the last §Y10 years§!.
ENFORCE_PEACE_BUTTON_DESC_TITLE	§YEnforce Realm Peace§!
horse_group	Horse
horse	Horse
horse_desc	This is a horse...
opinion_my_master	My Master
opinion_my_horse	My Horse
disorganised_swarm_tactic	Disorganised Swarm Tactic
disorganised_harass_tactic	Disorganised Harass Tactic
STEAL_POPULATION_SCALED_EFFECT	Steal $PERCENTAGE|Y%$ §YPopulation§! from $FROM|Y$ to $TO|Y$\n
CB_NAME_HUMILIATE	Humiliate
WAR_NAME_HUMILIATE	$ORDER$$FIRST_ADJ$ War to Humiliate $DEFENDER$
nomad_humiliate_cb_desc	Humiliate the enemy and steal their people to strengthen your own clan.
DECLINE_LAW	Decline 
EVTOPTC290	Decline
INFAMY_HISTORY_STR	$TEXT$: §Y$VALUE$%§!
#INFAMY	§YInfamy§!
INFAMY_DECAY	Monthly Decay: §Y$DECAY$%§!
#INFAMY_DESC	§YInfamy§! is a measure of how feared a Realm is. If the value increases above §Y25%§!, nearby rulers might form a §YCoalition§! to hinder further expansion. §YInfamy§! increases when a Realm expands too quickly - the larger the Realm already is, the more §YInfamy§! it will get. §YInfamy§! decreases when a Realm shrinks, and it also decays over time. The stronger the realm is, the slower the decay will be.
VASSAL_REALM_INFAMY	Ruler of $REALM|Y$
ADJUST_SIPHON_FACTOR_EFFECT	Increases the payment factor for $TITLE$ by $VALUE1|%$ to $VALUE2$%.
ADJUST_SIPHON_FACTOR_EFFECT_NEGATIVE	Increases the payment factor for $TITLE$ by $VALUE1|%$ to $VALUE2$%.
SET_SIPHON_FACTOR_TO_EFFECT	The payment factor for $TITLE$ is set to $VALUE$%.
CREATE_DYNAMIC_MERC_TOOLTIP	§Y[Root.GetFirstName]§! brings together a band of soldiers and starts to look for employment.
EVTDESC_ZE_10031	[Root.PrimaryTitle.GetFOA],\nMy men and I have had trouble finding a battlefield where our expertise could be employed for payment in gold, and unfortunately our rations are now running low. I therefore request additional funding to keep the men from starving.\n\nRegards,\n[From.GetTitledName]
EVTOPTA_ZE_10031	I'll cover the cost for extra rations.
EVTOPTB_ZE_10031	Starvation might serve as a lesson to [From.GetHerHim].
EVTDESC_ZE_10033	[Root.PrimaryTitle.GetFOA],\nThe money you sent was well needed. However we had to spend the whole lot of it on food. We could need some better equipment to have better chances of success once we reach the battlefield. Equipment is rather expensive for our empty purse and I know that you will see the benefit of such an investment.\n\nRegards,\n[From.GetTitledFirstName]
EVTOPTA_ZE_10033	I'll send a contribution at once.
EVTOPTB_ZE_10033	I can't spare you a single coin.
EVTOPTC_ZE_10033	Remind [From.GetFirstName] of [From.GetHerHis] obligations.
EVTDESC_ZE_10071	[Root.PrimaryTitle.GetFOA],\nWar is a harsh business and the soldiers are demanding more money. I have no regrets in informing you that this money will come from your cut, since it's the people fighting that's doing all the work and not the people sitting on high chairs.\n\nRegards,\n[From.GetTitledFirstName]
EVTOPTA_10071	Of course the men should be rewarded generously.
EVTOPTB_10071	Let them keep a little of the money.
EVTOPTC_10071	I need to remind [From.GetName] that this would be a breach of contract.
MERCENARY_SIPHON_FACTOR_LOWER	The payment factor for $TITLE$ is higher than $VALUE|%$.
MERCENARY_SIPHON_FACTOR_HIGHER	The payment factor for $TITLE$ is lower than $VALUE|%$.
tax_levy_law_feudal	Noble
tax_levy_law_feudal_desc	Noble Obligation Laws
tax_levy_law_feudal_0	Heavily Tax Focused Noble Obligations
tax_levy_law_feudal_0_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_feudal_1	Tax Focused Noble Obligations
tax_levy_law_feudal_1_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_feudal_2	Slightly Tax Focused Noble Obligations
tax_levy_law_feudal_2_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_feudal_3	Tax Shifted Noble Obligations
tax_levy_law_feudal_3_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_feudal_4	Balanced Noble Obligations
tax_levy_law_feudal_4_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_feudal_5	Levy Shifted Noble Obligations
tax_levy_law_feudal_5_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_feudal_6	Slightly Levy Focused Noble Obligations
tax_levy_law_feudal_6_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_feudal_7	Levy Focused Noble Obligations
tax_levy_law_feudal_7_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_feudal_8	Heavily Levy Focused Noble Obligations
tax_levy_law_feudal_8_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_republic	Burgher
tax_levy_law_republic_desc	Burgher Obligation Laws
tax_levy_law_republic_0	Heavily Tax Focused Burgher Obligations
tax_levy_law_republic_0_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_republic_1	Tax Focused Burgher Obligations
tax_levy_law_republic_1_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_republic_2	Slightly Tax Focused Burgher Obligations
tax_levy_law_republic_2_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_republic_3	Tax Shifted Burgher Obligations
tax_levy_law_republic_3_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_republic_4	Balanced Burgher Obligations
tax_levy_law_republic_4_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_republic_5	Levy Shifted Burgher Obligations
tax_levy_law_republic_5_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_republic_6	Slightly Levy Focused Burgher Obligations
tax_levy_law_republic_6_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_republic_7	Levy Focused Burgher Obligations
tax_levy_law_republic_7_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_republic_8	Heavily Levy Focused Burgher Obligations
tax_levy_law_republic_8_desc	This law governs how much tax and levies the mayors in the realm are obliged to contribute. The mayors tend to favor supplying troops for their liege over paying taxes.
tax_levy_law_theocracy	Church
tax_levy_law_theocracy_desc	Church Obligation Laws
tax_levy_law_theocracy_0	Heavily Tax Focused Church Obligations
tax_levy_law_theocracy_0_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops.
tax_levy_law_theocracy_1	Tax Focused Church Obligations
tax_levy_law_theocracy_1_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops
tax_levy_law_theocracy_2	Slightly Tax Focused Church Obligations
tax_levy_law_theocracy_2_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops
tax_levy_law_theocracy_3	Tax Shifted Church Obligations
tax_levy_law_theocracy_3_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops
tax_levy_law_theocracy_4	Balanced Church Obligations
tax_levy_law_theocracy_4_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops
tax_levy_law_theocracy_5	Levy Shifted Church Obligations
tax_levy_law_theocracy_5_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops
tax_levy_law_theocracy_6	Slightly Levy Focused Church Obligations
tax_levy_law_theocracy_6_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops
tax_levy_law_theocracy_7	Levy Focused Church Obligations
tax_levy_law_theocracy_7_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops
tax_levy_law_theocracy_8	Heavily Levy Focused Church Obligations
tax_levy_law_theocracy_8_desc	This law governs how much tax and levies the church in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops
tax_levy_law_tribal	Tribal
tax_levy_law_tribal_desc	Tribal Obligation Laws
tax_levy_law_tribal_0	Heavily Tax Focused Tribal Obligations
tax_levy_law_tribal_0_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_tribal_1	Tax Focused Tribal Obligations
tax_levy_law_tribal_1_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_tribal_2	Slightly Tax Focused Tribal Obligations
tax_levy_law_tribal_2_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_tribal_3	Tax Shifted Tribal Obligations
tax_levy_law_tribal_3_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_tribal_4	Balanced Tribal Obligations
tax_levy_law_tribal_4_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_tribal_5	Levy Shifted Tribal Obligations
tax_levy_law_tribal_5_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_tribal_6	Slightly Levy Focused Tribal Obligations
tax_levy_law_tribal_6_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_tribal_7	Levy Focused Tribal Obligations
tax_levy_law_tribal_7_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_tribal_8	Heavily Levy Focused Tribal Obligations
tax_levy_law_tribal_8_desc	This law governs how much tax and levies the tribes in the realm is obliged to contribute. The tribal chiefs tend to favor supplying their liege with a balanced mix of taxes and troops
tax_levy_law_iqta	Iqta
tax_levy_law_iqta_desc	Iqta Obligation Laws
tax_levy_law_iqta_0	Heavily Tax Focused Iqta Obligations
tax_levy_law_iqta_0_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_iqta_1	Tax Focused Iqta Obligations
tax_levy_law_iqta_1_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_iqta_2	Slightly Tax Focused Iqta Obligations
tax_levy_law_iqta_2_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_iqta_3	Tax Shifted Iqta Obligations
tax_levy_law_iqta_3_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_iqta_4	Balanced Iqta Obligations
tax_levy_law_iqta_4_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_iqta_5	Levy Shifted Iqta Obligations
tax_levy_law_iqta_5_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_iqta_6	Slightly Levy Focused Iqta Obligations
tax_levy_law_iqta_6_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_iqta_7	Levy Focused Iqta Obligations
tax_levy_law_iqta_7_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
tax_levy_law_iqta_8	Heavily Levy Focused Iqta Obligations
tax_levy_law_iqta_8_desc	This law governs how much tax and levies the gentry in the realm are obliged to contribute. The gentry tend to favor paying taxes over making troops available for their liege.
execution_voting_power	Execution
execution_voting_power_desc	The Council's ability to influence executions.
execution_voting_power_0	Ruler Execution Sovereignty
execution_voting_power_0_desc	The Ruler has full authority on Executions.\n
execution_voting_power_0_option	Ruler
execution_voting_power_1	Execution Committee
execution_voting_power_1_desc	Council members vote on Executions.\n
execution_voting_power_1_option	Council
DYNAMIC_MERCENARY_COMPANY_FEUDAL	[Prev.Capital.County.GetAdjective] Band
LAW_REJECTED_LOG	§Y$VASSAL$§! has rejected the proposed §Y$LAW$§! Law in §Y$TITLE$§!
LAW_REJECTED_SETUP	Vassal Rejects a Law
EVTDESC8218	Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and give the [Root.GetCouncilName] more powers in deciding the policies of the realm. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName]
EVTDESC8217	Under pressure from a powerful Faction, §Y[From.GetTitledName]§! has agreed to increase the power of the [Root.GetCouncilName].
EVTDESC8216	Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to give the [Root.GetCouncilName] more powers in deciding the policies of the realm. Your valuable support in this matter will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName]
faction_increase_council_power_ultimatum	Demand Increased Council Power
faction_increase_council_power_ultimatum_desc	Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding increased power for the Council. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.
faction_increase_council_power_short	Increased Council Power
faction_increase_council_power_title	Increased Council Power in [This.GetName]
faction_increase_council_power_desc	Members seek to increase the amount of decisions made by the council rather than decreed by the ruler alone. Once this faction is sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.
opinion_increased_council_power	Increased Council Power
opinion_decreased_council_power	Decreased Council Power
opinion_likes_new_obligation_law	Likes New Obligation Law
opinion_dislikes_new_obligation_law	Dislikes New Obligation Law
out_of_realm_inheritance_law_0	Free Inheritance
out_of_realm_inheritance_law_0_desc	Vassal titles do not have any special regulations on inheritance outside the realm.
out_of_realm_inheritance_law_0_option	Free
out_of_realm_inheritance_law_1	Regulated Inheritance
out_of_realm_inheritance_law_1_desc	Vassal title inheritance is regulated to disallow a title to pass to another realm.
out_of_realm_inheritance_law_1_option	Illegal
out_of_realm_inheritance_law_desc	Passing the controlled realm inheritance law will protect titles within the realm from being inherited by characters loyal to another liege.
out_of_realm_inheritance_law	Controlled Realm Inheritance
status_of_women	Status of Women
status_of_women_desc	Medieval societies usually function under a patriarchal social structure where women are kept from positions of power and influence. A ruler can alter this state of affairs by issuing decrees that give women increased access to higher positions in society.
status_of_women_0	Traditional Status of Women
status_of_women_0_desc	Women are prohibited from holding all job positions. Some government types will be restricted to Agnatic inheritance laws.
status_of_women_0_option	Tradition
status_of_women_1	Marginal Status of Women
status_of_women_1_desc	Women are allowed to hold some power, occupying background positions behind the people in charge.
status_of_women_1_option	Marginal
status_of_women_2	Significant Status of Women
status_of_women_2_desc	Women have been granted official power and are allowed to hold public offices.
status_of_women_2_option	Significant
status_of_women_3	Notable Status of Women
status_of_women_3_desc	Restrictions on female power have been officially repealed. All career paths are open for prominent women.
status_of_women_3_option	Notable
status_of_women_4	Full Status of Women
status_of_women_4_desc	Powerful legislation removing old restrictions has finally had the effect of affecting the general opinion on women in positions of power across society.
status_of_women_4_option	Full
TOOLTIP_ALLOW_FEMALE_SPYMASTER	Women related to the ruler are allowed to hold the office of [Root.Holder.GetSpymasterName]\n
TOOLTIP_DISALLOW_FEMALE_SPYMASTER	Women are no longer allowed to hold the office of [Root.Holder.GetSpymasterName]\n
TOOLTIP_ALLOW_FEMALE_CHANCELLOR	Women related to the ruler are allowed to hold the office of [Root.Holder.GetChancellorName]\n
TOOLTIP_DISALLOW_FEMALE_CHANCELLOR	Women are no longer allowed to hold the office of [Root.Holder.GetChancellorName]\n
TOOLTIP_ALLOW_FEMALE_TREASURER	Women related to the ruler are allowed to hold the office of [Root.Holder.GetTreasurerName]\n
TOOLTIP_DISALLOW_FEMALE_TREASURER	Women are no longer allowed to hold the office of [Root.Holder.GetTreasurerName]\n
TOOLTIP_ALLOW_FEMALE_MARSHAL	Women related to the ruler are allowed to hold the office of [Root.Holder.GetMarshalName]\n
TOOLTIP_DISALLOW_FEMALE_MARSHAL	Women are no longer allowed to hold the office of [Root.Holder.GetMarshalName]\n
EVTDESC_ZE_2100	I've gotten an increased amount of questions from [target_child.GetFirstName] lately about [Root.Religion.GetHighGodName] and the rituals of the [Root.Religion.GetName] faith.
EVTOPTA_ZE_2100	Time to teach [target_child.GetHerHim] about [Root.Religion.GetHighGodName].
EVTOPTB_ZE_2100	It will be better for [target_child.GetHerHim] not to know.
EVTDESC_ZE_2101	Over the past weeks I've grown more and more curious about the beliefs and rituals of my [GetFromRelation]. Today [From.GetSheHe] finally began to answer my repeated questions about [From.Religion.GetHighGodName].
EVTOPTA_ZE_2101	Glory to [From.Religion.GetHighGodName]!
EVTOPTB_ZE_2101	What repugnant ideas!
EVTDESC_ZE_2102	Your [GetFromRelation], [From.GetFirstName] has, through the teachings of [FromFrom.GetTitledFirstName], been studying the principles of the [FromFrom.Religion.GetName] faith
EVTOPTA_ZE_2102	Interesting.
EVTDESC_ZE_2120	During the past few months, [target_child.GetFirstName] has shown dogged determination in [target_child.GetHerHis] studies of our language and has now also expressed a desire to study the history of my people's ancestors.
EVTOPTA_ZE_2120	I should encourage it.
EVTOPTB_ZE_2120	Make sure [target_child.GetSheHe] learns about [target_child.GetHerHis] own customs.
EVTDESC_ZE_2121	Pleased with the progress I'm making with learning the local language, [From.GetFirstName] has brought me a book about the ancestry of the [From.Culture.GetName] people.
EVTOPTA_ZE_2121	How fascinating.
EVTOPTB_ZE_2121	I'd rather study my own family's heritage.
EVTDESC_ZE_2122	Rumor has it that your [GetFromRelation] [From.GetFirstName] has been influenced by [From.GetHerHis] guardian's splendor. It is said that [From.GetFirstName] is now considered properly [From.Culture.GetName].
EVTOPTA_ZE_2122	I hope it's a beneficial influence.
EVTDESC_ZE_2130	To the [GetFromFromRootCompliment] [Root.GetTitledNameWithNick],\n\nI write to ask for your permission to give my ward, [From.GetFirstName], a proper [FromFrom.Religion.GetName] [FromFrom.Culture.GetName] upbringing.\n\nSigned [FromFrom.GetTitledFirstName].
EVTOPTA_ZE_2130	That seems appropriate.
EVTOPTB_ZE_2130	I will never allow [From.GetHerHim] to turn into a savage!
EVTDESC_ZE_2131	Dear [Root.GetTitledNameWithNick],\n\nYour initiative to teach [FromFrom.GetFirstName] about your heritage is most welcome.
EVTOPTA_ZE_2131	I'll teach [FromFrom.GetHerHim] well.
EVTDESCA_ZE_2132	Dear, [GetFromRootCompliment] [Root.GetFirstName].\n\nWhile I admire your enthusiasm for the upbringing of [FromFrom.GetFirstName] I do believe that it's best to continue with the current plan of education for [FromFrom.GetHerHim].
EVTDESCB_ZE_2132	To the [GetFromRootInsult] [Root.GetTitledFirstName],\n\nClearly you can understand what an outlandish suggestion you are making. [FromFrom.GetFirstName] is supposed to grow up to be a fine and cultured [FromFrom.GetManWoman], something which will obviously not be possible with your strange rituals and repulsive manners.
EVTOPTA_ZE_2132	Not the response I had hoped for.
EVTOPTB_ZE_2132	What a rude response!
ask_wards_liege_to_allow_culture_religion_swap	Ask Permission for Heritage Focus
ask_wards_liege_to_allow_culture_religion_swap_desc	Send a letter to §Y[Root.Liege.GetTitledFirstName]§! asking for permission to change the focus for the upbringing of §Y[Root.GetFirstName]§!. Focusing on your heritage will make §Y[Root.GetFirstName]§! adopt your religion and culture.
EVTDESC_ZE_13610	I've been having these special feelings for a special someone lately. The strange urges to find myself embraced and close to another person. If I could only find myself alone with...
EVTOPTA_ZE_13610	...the Farrier's apprentice.
EVTOPTA_ZE_13610_MALE	...the Carpenter's daughter.
EVTOPTB_ZE_13610	...the Carpenter's daughter.
EVTOPTB_ZE_13610_MALE	...the Farrier's apprentice.
EVTOPTC_ZE_13610	...no, I had better keep these thoughts for myself.
EVTOPTD_ZE_13610	...no, these feelings are wrong!
EVTDESCA_ZE_13611	After weeks of waiting for the right opportunity I find myself behind the barn alone with the Farrier's apprentice that my heart has been longing for. My palms are sweaty and my chest is pounding.
EVTDESCB_ZE_13611	After weeks of waiting for the right opportunity I find myself behind the barn alone together with the Carpenter's daughter that my heart has been longing for. My palms are sweaty and my chest is pounding.
EVTOPTA_ZE_13611_CARP	Declare my eternal love for her.
EVTOPTA_ZE_13611_FERR	Declare my eternal love for him.
EVTOPTB_ZE_13611_CARP	Kiss her on the cheek.
EVTOPTB_ZE_13611_FERR	Kiss him on the cheek.
EVTOPTC_ZE_13611_CARP	Suggest a secluded cuddle inside the barn.
EVTOPTC_ZE_13611_FERR	Suggest a secluded cuddle inside the barn.
revoke_title_law	Revoke Title
revoke_title_law_desc	Laws governing the right of a ruler to revoke titles from its subjects.
revoke_title_law_0	Title Revocation Disallowed
revoke_title_law_0_desc	The ruler is not under any circumstances allowed to interfere in the ownership of hereditary titles.
revoke_title_law_0_option	None
revoke_title_law_1	Title Revocation Allowed
revoke_title_law_1_desc	The ruler is allowed to legally seize hereditary titles from traitors and unlawful subjects.
revoke_title_law_1_option	Allowed
revoke_title_law_2	Religious Control Mandate
revoke_title_law_2_desc	The ruler has acquired the right to enforce religious control upon subjects and may now seize the titles of heathens and heretics freely.
revoke_title_law_2_option	Religious
ze_administration_laws	Administration
ze_administration_laws_desc	These laws govern how society controls and organizes ownership of property and wealth.
ze_administration_laws_1	Late Feudal Administration
ze_administration_laws_1_desc	Late feudal lords realize the importance of keeping the inheritance together to facilitate their dynasty's long-term increase in power and wealth. In this system, there is a tendency for vassals to grow more and more powerful with time if not kept in check.
ze_administration_laws_1_option	Late
#CB_NAME_INCREASE_COUNCIL_POWER	Increase Council Power
#WAR_NAME_INCREASE_COUNCIL_POWER	$ORDER$$FIRST_ADJ$ League to Increase Council Power War
#EVTDESC8215	For too long, the crown has restricted our rightful influence over the realm. The time has come to increase the power of the [Root.GetCouncilName]! Submit to this demand peacefully or face the consequences. Rest assure that I have gathered the support of others who are equally angered...\n\nSigned,\n[From.GetTitledName]
pattern_this_is_not_my_war_target_custom_tooltip	There are other wars that are more important for me right now.\n
title_councilmember_king_desc	The Advisor is a respected member of the realm's council and is responsible for giving sound advice on any matters that the ruler has to deal with.
title_councilmember_emperor_desc	The Advisor is a respected member of the realm's council and is responsible for giving sound advice on any matters that the ruler has to deal with.
your_allies	§YAllies joining on your side.§!
enemy_allies	§YAllies joining on the enemy's side.§!
relations_instant	§Y$NAME$'s Relations§!
relations_delayed	Friends, Rivals, Marriage Ties and Lovers
enforce_realm_peace	Enforce Realm Peace
EVTDESC_ZE_11001	Your mercenary band captain [From.GetTitledName] has shown much interest in your [chosen_child.GetSonDaughter] [chosen_child.GetFirstName]. Now [From.GetSheHe] approaches you with a marriage proposal. Any children in such a marriage would be of [From.GetTitledName]'s dynasty.
EVTOPTA_ZE_11001	Not a bad idea.
EVTOPTB_ZE_11001	Outrageous!
EVTOPTA_ZE_9100_TOOLTIP	All port counties experience tax collecting issues\n
EVTOPTB_ZE_8112	[From.GetFirstName] should stay out of my business.
EVTDESC_ZE_8113	[From.GetTitledName] seemed very grateful for my help, and promised to return the favor whenever possible.
EVTOPTA_ZE_8113	I'm glad it worked out for them.
EVTDESC_ZE_8114	[From.GetTitledName] was upset that I interrupted a private discussion, [From.GetSheHe] wanted me to stay out of their business in the future.
EVTOPTA_ZE_8114	[From.GetTitledName] should be grateful for my help!
EVTDESC_ZE_11011	[From.GetFullName] proposes that we send more troops making them a bigger, better mercenary band. [From.GetSheHeCap] insists that with the experience [From.GetSheHe] has gained, trusting [From.GetHerHim] with a greater force is a natural way of showing mutual respect and trust.
EVTOPTA_ZE_11011	Accept proposal.
EVTOPTB_ZE_11011	Respectfully disagree.
EVTDESC_ZE_11021	[From.GetFullName] was not happy with your decision to dissolve '[From.GetHerHis]' mercenary band. [From.GetSheHeCap] is reported to have taken your soldiers as [From.GetHerHis] own and disappeared.
EVTOPTA_ZE_11021	When I find [From.GetHerHim]...
EVTOPTA_ZE_11021_TOOLTIP	Who knows what they will be up to.
#dissolve_mercenary_company_feudal	Dissolve the Mercenary Company
dissolve_mercenary_company_feudal_desc	This will put an end to the Mercenary Company. Your current Mercenary Captain may not like this.
law_voting_power	Council Power
law_voting_power_desc	Empowers and abolishes the Council.
law_voting_power_0	Absolute Rule
law_voting_power_1	Empowered Council
law_voting_power_0_desc	The ruler has full authority over politics and laws.\n
law_voting_power_1_desc	This empowers the Council.\n
law_voting_power_0_option	Abolish
law_voting_power_1_option	Empower
banish_voting_power	Banishment
banish_voting_power_desc	The Council's ability to influence banishment of characters from the realm.
banish_voting_power_0	Ruler Banishment Sovereignty
banish_voting_power_1	Banishment Committee
banish_voting_power_0_desc	The ruler has full authority on Banishments.\n
banish_voting_power_1_desc	Council members vote on Banishments.\n
banish_voting_power_0_option	Ruler
banish_voting_power_1_option	Council
revoke_title_voting_power	Revoke Titles
revoke_title_voting_power_desc	The Council's ability to influence Title Revocation.
revoke_title_voting_power_0	Ruler Title Revocation Sovereignty
revoke_title_voting_power_1	Title Revocation Committee
revoke_title_voting_power_0_desc	The ruler has full authority on Title Revocation issues.\n
revoke_title_voting_power_1_desc	Council members vote on Title Revocation issues.\n
revoke_title_voting_power_0_option	Ruler
revoke_title_voting_power_1_option	Council
grant_title_voting_power	Grant Titles
grant_title_voting_power_desc	The Council's ability to influence Title Grant decisions.
grant_title_voting_power_0	Ruler Title Grant Sovereignty
grant_title_voting_power_1	Title Grant Committee
grant_title_voting_power_0_desc	The ruler has full authority on Title Grants.\n
grant_title_voting_power_1_desc	Council members vote on Title Grants.\n
grant_title_voting_power_0_option	Ruler
grant_title_voting_power_1_option	Council
imprison_voting_power	Imprisonment
imprison_voting_power_desc	The Council's ability to influence Imprisonment decisions.
imprison_voting_power_0	Ruler Imprisonment Sovereignty
imprison_voting_power_1	Imprisonment Committee
imprison_voting_power_0_desc	The Ruler has full authority on Imprisonment issues.\n
imprison_voting_power_1_desc	Council members vote on imprisonment issues.\n
imprison_voting_power_0_option	Ruler
imprison_voting_power_1_option	Council
war_voting_power	War Declaration
war_voting_power_desc	The Council's ability to influence Declarations of War.
war_voting_power_0	Ruler War Declaration Sovereignty
war_voting_power_1	War Declaration Committee
war_voting_power_0_desc	The Ruler has full authority on War Declarations.\n
war_voting_power_1_desc	Council members vote on War Declarations.\n
war_voting_power_0_option	Ruler
war_voting_power_1_option	Council
opinion_lowered_tribal_organization	Lowered Tribal Organization
EVTDESC38315	I am speaking in tongues and screaming obscenities at random times, people believe me to be possessed.
EVTOPTA_ZE_6021	[moving_councillor.GetSheHeCap] should be my [Root.GetChancellorName].
EVTOPTB_ZE_6021	[moving_councillor.GetSheHeCap] should be my [Root.GetMarshalName].
