#CODE	ENGLISH	ENGLISH
#MODIFIER_COMBAT_RATING	Combat Rating	Combat Rating
CR_DIFF_LOWER_THAN	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!
EVTDESC_WOL_3022_CHILD	My little [GetFromRelation] [From.GetFirstName] adores me, and I love playing with [From.GetObjectPronoun]. It is important to lay the groundwork for our future relations...	My little [GetFromRelation] [From.GetFirstName] adores me, and I love playing with [From.GetObjectPronoun]. It is important to lay the groundwork for our future relations...
EVTDESC_WOL_3022_ABROAD	I have been corresponding regularly with my [GetFromRelation] [From.GetFirstName], and always make sure to see [From.GetObjectPronoun] whenever I get the chance. It's a harsh world and family must stick together.	I have been corresponding regularly with my [GetFromRelation] [From.GetFirstName], and always make sure to see [From.GetObjectPronoun] whenever I get the chance. It's a harsh world and family must stick together.
EVTOPTA_WOL_3022	Family first!	Family first!
EVTDESC_WOL_3032	My [GetFromRelation] [From.GetFirstName], the [GetRootFromCompliment] [From.GetManWoman], can always rely on me for aid. I try to help out whenever and however I can, out of respect, if not love.	My [GetFromRelation] [From.GetFirstName], the [GetRootFromCompliment] [From.GetManWoman], can always rely on me for aid. I try to help out whenever and however I can, out of respect, if not love.
EVTDESC_WOL_3042	It is hard to find the time, but whenever I can, I try to spend some time with my [GetFromRelation] [From.GetFirstName]. [From.GetSubjectPronounCap] must be made to see how important family is, and to honor and love [From.GetPossPronoun] parents!	It is hard to find the time, but whenever I can, I try to spend some time with my [GetFromRelation] [From.GetFirstName]. [From.GetSubjectPronounCap] must be made to see how important family is, and to honor and love [From.GetPossPronoun] parents!
EVTDESC_WOL_3042_CHILD	As a reigning [Root.PrimaryTitle.GetRulerTitle], I rarely have any spare time, but for my little [GetFromRelation] [From.GetFirstName] I would move heaven and earth!	As a reigning [Root.PrimaryTitle.GetRulerTitle], I rarely have any spare time, but for my little [GetFromRelation] [From.GetFirstName] I would move heaven and earth!
EVTDESC_WOL_3042_ABROAD	I have been corresponding regularly with my [GetFromRelation] [From.GetFirstName], and always make sure to see [From.GetObjectPronoun] whenever I get the chance to give sage advice and remind [From.GetObjectPronoun] of [From.GetPossPronoun] duties.	I have been corresponding regularly with my [GetFromRelation] [From.GetFirstName], and always make sure to see [From.GetObjectPronoun] whenever I get the chance to give sage advice and remind [From.GetObjectPronoun] of [From.GetPossPronoun] duties.
EVTDESC_WOL_3050	I have noticed that [target_first.GetTitledFirstNameNoRegnal] and [target_second.GetTitledFirstNameNoRegnal] are not on the best of terms - a situation I hope to remedy! I have invited them both for some quality family time in [Root.Capital.Capital.GetName].	I have noticed that [target_first.GetTitledFirstNameNoRegnal] and [target_second.GetTitledFirstNameNoRegnal] are not on the best of terms - a situation I hope to remedy! I have invited them both for some quality family time in [Root.Capital.Capital.GetName].
EVTDESC_WOL_3051	My [GetFromRelation], [From.GetTitledFirstNameNoRegnal], has asked me to spend some quality family time in [From.Capital.Capital.GetName]. I am sure the idea is for me to become better friends with [target_second.GetTitledName].	My [GetFromRelation], [From.GetTitledFirstNameNoRegnal], has asked me to spend some quality family time in [From.Capital.Capital.GetName]. I am sure the idea is for me to become better friends with [target_second.GetTitledName].
EVTOPTA_WOL_3051	That sounds nice!	That sounds nice!
EVTOPTB_WOL_3051	What idiocy! I think not.	What idiocy! I think not.
EVTDESC_WOL_3053	My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused my suggestion. There will be no reconciliation with [target_second.GetTitledName].	My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused my suggestion. There will be no reconciliation with [target_second.GetTitledName].
EVTOPTA_WOL_3053	How foolish!	How foolish!
EVTDESC_WOL_3054	My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused my suggestion. There will be no reconciliation with [target_first.GetTitledName].	My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused my suggestion. There will be no reconciliation with [target_first.GetTitledName].
EVTDESC_WOL_3055	My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused [target_initiator.GetTitledFirstNameNoRegnal]'s invitation for us all to spend some time together in [target_initiator.Capital.Capital.GetName]...	My [GetFromRelation] [From.GetTitledFirstNameNoRegnal] refused [target_initiator.GetTitledFirstNameNoRegnal]'s invitation for us all to spend some time together in [target_initiator.Capital.Capital.GetName]...
EVTOPTA_WOL_3055	How silly of [From.GetObjectPronoun]!	How silly of [From.GetObjectPronoun]!
EVTDESC_WOL_3056	[From.GetTitledFirstNameNoRegnal], [target_initiator.GetFirstName] and I had a great time together! I feel we have really strengthened our family bonds.	[From.GetTitledFirstNameNoRegnal], [target_initiator.GetFirstName] and I had a great time together! I feel we have really strengthened our family bonds.
EVTOPTA_WOL_3056	We should do it again some time.	We should do it again some time.
EVTDESC_WOL_3057	[From.GetFirstName], [FromFrom.GetFirstName] and I had the greatest time together! I am sure they like each other better now.	[From.GetFirstName], [FromFrom.GetFirstName] and I had the greatest time together! I am sure they like each other better now.
EVTDESC_WOL_3060	Constant fights and vicious pranks - my two children [target_second.GetFirstName] and [target_first.GetFirstName] just could never seem to get along, but my efforts to instill mutual love and respect have finally born fruit. This friendship will serve them well when I'm gone...	Constant fights and vicious pranks - my two children [target_second.GetFirstName] and [target_first.GetFirstName] just could never seem to get along, but my efforts to instill mutual love and respect have finally born fruit. This friendship will serve them well when I'm gone...
EVTOPTA_WOL_3060	Who can you trust, if not your siblings?	Who can you trust, if not your siblings?
EVTDESC6020_PARA	They are all watching me, conspiring... even my closest friends. Dark eyes, cold eyes... evil eyes.	They are all watching me, conspiring... even my closest friends. Dark eyes, cold eyes... evil eyes.
EVTOPTA6020_PARA	What do they want?!	What do they want?!
EVTDESC6020_FEVER	The fever has broken - perhaps only temporarily - but I can still see the shadowy figures lurking in the corners. Are they real?	The fever has broken - perhaps only temporarily - but I can still see the shadowy figures lurking in the corners. Are they real?
EVTOPTA6020_FEVER	Who are they?!	Who are they?!
EVTDESC6020_ZEAL	The dark stain of heresy has infected everyone around me. [Root.Religion.GetRandomEvilGodNameCap] is winning the war for humanity's souls. No one is pure... except me.	The dark stain of heresy has infected everyone around me. [Root.Religion.GetRandomEvilGodNameCap] is winning the war for humanity's souls. No one is pure... except me.
EVTOPTA6020_ZEAL	They must all be cleansed!	They must all be cleansed!
EVTDESC6020_PRISON	There are things in the walls. Things... Not rats, oh no! Not vermin at all... but scratching, watching, trying to drive me insane!	There are things in the walls. Things... Not rats, oh no! Not vermin at all... but scratching, watching, trying to drive me insane!
EVTOPTA6020_PRISON	I must get out of this hellhole!	I must get out of this hellhole!
EVTDESC6020_COMA	I awoke from my unending nightmare screaming. I have been in the abyss, an indescribable darkness. How long have I been asleep? Weeks, years?!	I awoke from my unending nightmare screaming. I have been in the abyss, an indescribable darkness. How long have I been asleep? Weeks, years?!
EVTOPTA6020_COMA	The darkness... it's still here!	The darkness... it's still here!
IS_PLOT_KNOWN_BY	Plot is known	Plot is known
IS_NOT_PLOT_KNOWN_BY	Plot is NOT known	Plot is NOT known
NOR_TRIGGER_STARTS	None of these must be true	None of these must be true
PATRIARCH	patriarch	patriarch
MATRIARCH	matriarch	matriarch
decision_break_free	Free from Captivity	Free from Captivity
decision_break_free_desc	Work to free §Y[This.GetTitledFirstName]§! from captivity through intrigue. Might take a long time. Requires the §YIntrigue Focus§!.	Work to free §Y[This.GetTitledFirstName]§! from captivity through intrigue. Might take a long time. Requires the §YIntrigue Focus§!.
decision_spy_on	Spy On	Spy On
decision_spy_on_desc	Keep an eye on §Y[This.GetTitledName]§! in the hopes of uncovering [This.GetPossPronoun] darkest secrets. Might allow you to blackmail, level treason charges against, or even murder [This.GetObjectPronoun]. Requires the §YIntrigue Focus§!.	Keep an eye on §Y[This.GetTitledName]§! in the hopes of uncovering [This.GetPossPronoun] darkest secrets. Might allow you to blackmail, level treason charges against, or even murder [This.GetObjectPronoun]. Requires the §YIntrigue Focus§!.
opinion_declined_romance	Declined Romance	Declined Romance
opinion_charge_heresiarch	Charge: Heresiarch	Charge: Heresiarch
opinion_charge_infidel	Charge: Infidel Preacher	Charge: Infidel Preacher
opinion_charge_deviant	Charge: Deviant	Charge: Deviant
opinion_charge_traitor	Charge: Traitor	Charge: Traitor
opinion_charge_illegitimate	Charge: Illegitimate	Charge: Illegitimate
opinion_charge_slanderer	Charge: Slanderer	Charge: Slanderer
opinion_slandered	Slandered	Slandered
opinion_spy_blackmailed	Blackmailed	Blackmailed
opinion_dominated	Dominated	Dominated
opinion_marital_love	Love	Love
opinion_family_love	Love	Love
failed_escape	Failed Escape	Failed Escape
attempted_murder_of_parent	Attempted Murder of Parent	Attempted Murder of Parent
attempted_murder_of_sibling	Attempted Murder of Sibling	Attempted Murder of Sibling
vicious_rumors	Vicious Rumors	Vicious Rumors
desc_vicious_rumors	There are all kinds of foul rumors about this character, most likely started by some rival or enemy.	There are all kinds of foul rumors about this character, most likely started by some rival or enemy.
known_murderer	Known Murderer	Known Murderer
desc_known_murderer	This character has been exposed as a murderer, vehement denials notwithstanding.	This character has been exposed as a murderer, vehement denials notwithstanding.
focus_intrigue_desc	[This.GetTitledFirstName] seeks to become a better schemer, spending most of [This.GetPossPronoun] time engrossed in court intrigue.\nThis Focus unlocks the §YSpy On§! and §YFree from Captivity§! options vs suitable targets.	[This.GetTitledFirstName] seeks to become a better schemer, spending most of [This.GetPossPronoun] time engrossed in court intrigue.\nThis Focus unlocks the §YSpy On§! and §YFree from Captivity§! options vs suitable targets.
opinion_spying_on	Spying On	Spying On
opinion_breaking_out	Breaking Out	Breaking Out
ANY_OPINION_TARGET_STARTS	Any Opinion Target	Any Opinion Target
hunting_white_stag	The White Stag Eludes Me...	The white stag eludes me...
hunting_white_bear	The White Bear Eludes Me...	The white bear eludes me...
hunting_white_tiger	The White Tiger Eludes Me...	The white tiger eludes me...
hunting_white_lion	The White Lion Eludes Me...	The white lion eludes me...
potion_unforeseen_effects	This might have unforeseen effects...	This might have unforeseen effects...
cottage_person_dies	You kill the treacherous vagrant!\n	You kill the treacherous vagrant!
nick_the_pilgrim	the Pilgrim	the Pilgrim
nick_the_shadow	the Shadow	the Shadow
nick_the_whisperer	the Whisperer	the Whisperer
nick_the_spider	the Spider	the Spider
nick_of_the_wilds	of the Wilds	of the Wilds
nick_the_impaler	the Impaler	the Impaler
nick_the_viking	the Viking	the Viking
nick_the_decadent	the Decadent	the Decadent
nick_bloodaxe	Bloodaxe	Bloodaxe
nick_the_sword_of_god	the Sword of [Root.Religion.GetRandomGodName]	the Sword of [Root.Religion.GetRandomGodName]
nick_the_culture	the [Root.Culture.GetName]	the [Root.Culture.GetName]
nick_the_rel_group	the [Root.Religion.GetGroupName]	the [Root.Religion.GetGroupName]
ARMY_LEVIES_DESC	The total amount of levies in the realm.	The total amount of levies in the realm.
RAISED	Raised	Raised
UNRAISED	Unraised	Unraised
EVTTITLE_WoL_5001_stag	The White Stag	The White Stag
EVTTITLE_WoL_5001_bear	The White Bear	The White Bear
EVTTITLE_WoL_5001_tiger	The White Tiger	The White Tiger
EVTTITLE_WoL_5001_lion	The White Lion	The White Lion
EVTDESC_WoL_5001_stag	Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white stag, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.	Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white stag, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.
EVTDESC_WoL_5001_bear	Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white bear, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.	Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white bear, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.
EVTDESC_WoL_5001_tiger	Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white tiger, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.	Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white tiger, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.
EVTDESC_WoL_5001_lion	Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white lion, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.	Lately, you have heard persistent rumors from peasants and travellers in the wilds that a strange, mythical beast has been sighted in your realm. It's a white lion, powerful and elusive. The common folk claim it comes from another world and that the hunter who claims it will be imbued with divine power.
EVTOPTA_WoL_5001	I must send people out to find it!	I must send people out to find it!
EVTOPTB_WoL_5001	I have no time for dreams and rumors.	I have no time for dreams and rumors.
EVTDESC_WoL_5004_stag	Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white stag in the county of [From.GetName].	Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white stag in the province of [From.GetName].
EVTDESC_WoL_5004_bear	Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white bear in the county of [From.GetName].	Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white bear in the province of [From.GetName].
EVTDESC_WoL_5004_tiger	Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white tiger in the county of [From.GetName].	Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white tiger in the province of [From.GetName].
EVTDESC_WoL_5004_lion	Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white lion in the county of [From.GetName].	Good news, my [Root.GetLordLady]! We have received credible reports of a recent sighting of the great white lion in the province of [From.GetName].
EVTOPTA_WoL_5004	Saddle my horse!	Saddle my horse!
EVTOPTB_WoL_5004	I don't have the time now.	I don't have the time now.
EVTDESC_WoL_5007_stag	On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white stag! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.	On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white stag! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.
EVTDESC_WoL_5007_bear	On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white bear! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.	On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white bear! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.
EVTDESC_WoL_5007_tiger	On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white tiger! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.	On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a fearsome great white tiger! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.
EVTDESC_WoL_5007_lion	On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white lion! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.	On the hunt, you get separated from your party in the wilderness. As you are roaming around and trying to find your bearings, you glimpse something strange in the distance... you ride closer and see a majestic great white lion! As you cautiously approach, it sees you and runs away. You try to follow but are unable to catch up in the difficult terrain.\n\nAs you get back to your party, you find you can't stop thinking about this strange animal.
EVTDESC_WoL_5010_stag	You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white stag.	You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white stag.
EVTDESC_WoL_5010_bear	You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white bear.	You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white bear.
EVTDESC_WoL_5010_tiger	You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white tiger.	You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white tiger.
EVTDESC_WoL_5010_lion	You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white lion.	You have gathered your followers and your hunting dogs, you have saddled your horse and prepared your weapons. You are ready to set out to hunt the great white lion.
EVTOPTA_WoL_5010	An epic hunt it shall be!	An epic hunt it shall be!
EVTOPTB_WoL_5010	This time it will not escape me!	This time it will not escape me!
EVTDESC_WoL_5030_stag	After many days of hard hunting and tracking, you have finally managed to trap the white stag in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...	After many days of hard hunting and tracking, you have finally managed to trap the white stag in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...
EVTDESC_WoL_5030_bear	After many days of hard hunting and tracking, you have finally managed to trap the white bear in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...	After many days of hard hunting and tracking, you have finally managed to trap the white bear in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...
EVTDESC_WoL_5030_tiger	After many days of hard hunting and tracking, you have finally managed to trap the white tiger in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...	After many days of hard hunting and tracking, you have finally managed to trap the white tiger in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...
EVTDESC_WoL_5030_lion	After many days of hard hunting and tracking, you have finally managed to trap the white lion in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...	After many days of hard hunting and tracking, you have finally managed to trap the white lion in a cul-de-sac between two rocks. The great animal is at your mercy - it looks at you with intelligent eyes, and you are suddenly struck by its great beauty...
EVTOPTA_WoL_5030	Its head will adorn my wall!	Its head will adorn my wall!
EVTOPTB_WoL_5030	I cannot slay such a noble animal.	I cannot slay such a noble animal.
EVTDESC_WoL_5035_stag	During your hunt, you come to a deep gorge. Right on the other side is the white stag, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.	During your hunt, you come to a deep gorge. Right on the other side is the white stag, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.
EVTDESC_WoL_5035_bear	During your hunt, you come to a deep gorge. Right on the other side is the white bear, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.	During your hunt, you come to a deep gorge. Right on the other side is the white bear, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.
EVTDESC_WoL_5035_tiger	During your hunt, you come to a deep gorge. Right on the other side is the white tiger, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.	During your hunt, you come to a deep gorge. Right on the other side is the white tiger, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.
EVTDESC_WoL_5035_lion	During your hunt, you come to a deep gorge. Right on the other side is the white lion, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.	During your hunt, you come to a deep gorge. Right on the other side is the white lion, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.
EVTOPTA_WoL_5035	Now I know my purpose in life!	Now I know my purpose in life!
EVTOPTB_WoL_5035	I'm sure I'll catch it someday.	I'm sure I'll catch it someday.
EVTDESC_WoL_5040	Scouring the countryside for your prey, you come upon a lone rider. As you strike up conversation, it turns out he also hunts the same great animal that you are after. His lack of success thus far seems to match yours, but he invites you to talk and share experiences.	Scouring the countryside for your prey, you come upon a lone rider. As you strike up conversation, it turns out he also hunts the same great animal that you are after. His lack of success thus far seems to match yours, but he invites you to talk and share experiences.
EVTOPTA_WoL_5040	Please join me at my court!	Please join me at my court!
EVTOPTB_WoL_5040	It's better to hunt alone.	It's better to hunt alone.
EVTOPTC_WoL_5040	A rival - he must die!	A rival - he must die!
EVTDESC_WoL_5045	You spend weeks in the wilderness searching for any trace of your prey, but to no avail. You find plenty of bugs, snakes and riding sores, however.	You spend weeks in the wilderness searching for any trace of your prey, but to no avail. You find plenty of bugs, snakes and riding sores, however.
EVTOPTA_WoL_5045	This is pointless...	This is pointless...
EVTDESC_WoL_5050	You spend weeks in the wilderness searching for any trace of your prey, but to no avail. However, you find that you rather enjoy being out in the wilds. All this daily physical activity, it makes you feel... stronger.	You spend weeks in the wilderness searching for any trace of your prey, but to no avail. However, you find that you rather enjoy being out in the wilds. All this daily physical activity, it makes you feel... stronger.
EVTOPTA_WoL_5050	This is great!	This is great!
EVTDESC_WoL_5055	You spend weeks in the wilderness searching for any trace of your prey, but are forced to return emptyhanded. You are sure that no one's impressed by your failed adventure.	You spend weeks in the wilderness searching for any trace of your prey, but are forced to return emptyhanded. You are sure that no one's impressed by your failed adventure.
EVTOPTA_WoL_5055	It's my own failure.	It's my own failure.
EVTOPTB_WoL_5055	It's because my retainers are useless!	It's because my retainers are useless!
EVTDESC_WoL_5060	Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, an old crone opens. When she sees you and your hunting party, she cackles eerily and says that she has a powerful potion that will make you a stronger hunter, sure to catch any prey.	Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, an old crone opens. When she sees you and your hunting party, she cackles eerily and says that she has a powerful potion that will make you a stronger hunter, sure to catch any prey.
EVTOPTA_WoL_5060	Sell it to me!	Sell it to me!
EVTOPTB_WoL_5060	No, let's go home, this is fruitless.	No, let's go home, this is fruitless.
EVTDESC_WoL_5061_good	You drink the potion down. Soon, you start to feel all warm inside. The crone whispers: 'See? You know that this will make you stronger, I can see it in your eyes! Now go, great hunter!'.\n\nYou return home, certain in your belief that next time you will find your prey...	You drink the potion down. Soon, you start to feel all warm inside. The crone whispers: 'See? You know that this will make you stronger, I can see it in your eyes! Now go, great hunter!'.\n\nYou return home, certain in your belief that next time you will find your prey...
EVTDESC_WoL_5061_bad	You drink the potion down. Soon, you start to feel all queasy, and then you pass out. As you awake, you have a strong headache and no desire to continue your hunting expedition. The old crone has disappeared, your guards don't seem to know how or where to.	You drink the potion down. Soon, you start to feel all queasy, and then you pass out. As you awake, you have a strong headache and no desire to continue your hunting expedition. The old crone has disappeared, your guards don't seem to know how or where to.
EVTOPTA_WoL_5061	I don't feel well...	I don't feel well...
EVTOPTC_WoL_5061	This feels good...	This feels good...
EVTDESC_WoL_5062	You have returned to your court. The hunt for this elusive white beast seems fruitless, but there are many more things out there in the wilds. Maybe next time you will catch your prey...	You have returned to your court. The hunt for this elusive white beast seems fruitless, but there are many more things out there in the wilds. Maybe next time you will catch your prey...
EVTOPTA_WoL_5062	I won't give up.	I won't give up.
EVTDESC_WoL_5065_female_lover	Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a beautiful young woman opens. She pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?'	Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a beautiful young woman opens. She pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?'
EVTDESC_WoL_5065_male_lover	Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a handsome young man opens. He pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?'	Fruitlessly scouring the countryside, you come upon a small cottage in the wilds. As you knock, a handsome young man opens. He pauses, then gives you a warm, inviting look and says: 'It's very lonely out here, I wonder if you will stay the night?'
EVTOPTA_WoL_5065	Of course...	Of course...
EVTOPTB_WoL_5065	I really shouldn't.	I really shouldn't.
EVTOPTC_WoL_5065	It's a trap! Attack!	It's a trap! Attack!
EVTDESC_WoL_5066	The next morning, you awake with a warm body next to you. You spent a long, pleasant night in the cabin but it's time to get back to the world outside. Your companion looks you in the eyes, caresses you and asks you to stay a little longer...	The next morning, you awake with a warm body next to you. You spent a long, pleasant night in the cabin but it's time to get back to the world outside. Your companion looks you in the eyes, caresses you and asks you to stay a little longer...
EVTOPTA_WoL_5066	This was nice, but I have to go.	This was nice, but I have to go.
EVTOPTB_WoL_5066	Come back to court with me!	Come back to court with me!
CONFIRM_CANCEL_PLOT_TITLE	Abandon Plot	Abandon Plot
CONFIRM_CANCEL_PLOT_DESC	Abandon the plot to $PLOT$?	Abandon the plot to $PLOT$?
CANCEL_PLOT	Cancel Plot	Cancel Plot
CANNOT_CANCEL_PLOT	This plot cannot be cancelled.	This plot cannot be cancelled.
CONFIRM_CANCEL_FOCUS_TITLE	Abandon Focus	Abandon Focus
CONFIRM_CANCEL_FOCUS_DESC	Abandon the $PLOT$ focus?	Abandon the $PLOT$ focus?
CANCEL_FOCUS_EFFECT	$CHAR$ loses the §Y$OBJECTIVE$§! focus	$CHAR$ loses the §Y$OBJECTIVE$§! focus
CANCEL_FOCUS	Cancel Focus	Cancel Focus
CANNOT_CANCEL_FOCUS	This focus cannot be cancelled.	This focus cannot be cancelled.
NO_VALID_FOCUS	No Valid Focus	No Valid Focus
CHOOSE_FOCUS	§GClick to Choose a Focus§!	§GClick to Choose a Focus§!
VASSAL_LIMIT_NOT_USED_BY_TIER	Characters of a tier this low do not use vassal limit.	Cannot use Focus without the Way of Life DLC
pet_hunting_dog	Hunting Dog	Characters of a tier this low do not use vassal limit.
pet_hunting_dog_desc	Your faithful hunting dog was given to you as a puppy and raised in your care. He is your most loyal servant and companion.	Hunting Dog
EVTDESC_WoL_5202	Your [GetFromRelation], [From.GetTitledFirstName], has sent you a gift. It is a small puppy, but of the finest pedigree and destined to grow into a great hunting dog.	Your faithful hunting dog was given to you as a puppy and raised in your care. He is your most loyal servant and companion.
EVTOPTA_WoL_5202	I will accept this gracious gift.	Your [GetFromRelation], [From.GetTitledFirstName], has sent you a gift. It is a small puppy, but of the finest pedigree and destined to grow into a great hunting dog.
EVTOPTB_WoL_5202	Send it back.	I will accept this gracious gift.
EVTOPTC_WoL_5202	Pay someone to quietly dispose of it...	Send it back.
EVTDESC_WoL_5203	Your new puppy has no name yet, my [Root.GetLordLady]. What will you call it?	Pay someone to quietly dispose of it...
EVTOPTA_WoL_5203	Faithful.	Your new puppy has no name yet, my [Root.GetLordLady]. What will you call it?
EVTOPTB_WoL_5203	Hunter.	Faithful.
EVTOPTC_WoL_5203	Tricky.	Hunter.
EVTOPTD_WoL_5203	Lucifer.	Tricky.
EVTOPTE_WoL_5203	Shaytan.	Lucifer.
EVTOPTF_WoL_5203	Fenrir.	Shaytan.
EVTOPTG_WoL_5203	Erlik.	Fenrir.
EVTOPTH_WoL_5203	Velnias.	Erlik.
EVTOPTI_WoL_5203	Tuoni.	Velnias.
